Gene	OptimalTree: species_tree.tre	AltTree1	AltTree2	AltTree1_Difference	AltTree2_Difference	PCS	Supported Tree
Gene 1	-217753.776829	-217746.652114	-217749.115712	-7.12471500001266	-4.66111700001056	-7.12471500001266	1
Gene 2	-127710.812784	-127700.118799	-127702.491252	-10.6939849999908	-8.3215319999872	-10.6939849999908	1
Gene 3	-136314.553147	-136304.105935	-136307.677463	-10.4472119999991	-6.87568399999873	-10.4472119999991	1
Gene 4	-451145.499884	-451274.629205	-451251.380809	129.129321000015	105.880925000005	105.880925000005	0
Gene 5	-325269.930279	-325261.224154	-325262.434709	-8.70612500002608	-7.49557000002824	-8.70612500002608	1
Gene 6	-133718.625135	-133707.624529	-133713.137562	-11.000606000016	-5.48757300002035	-11.000606000016	1
Gene 7	-350146.425871	-350136.782456	-350141.749506	-9.64341499999864	-4.67636499996297	-9.64341499999864	1
Gene 8	-135249.763018	-135239.024491	-135244.433140	-10.7385270000086	-5.32987799998955	-10.7385270000086	1
Gene 9	-108565.470617	-108519.817740	-108536.186060	-45.6528770000004	-29.2845569999918	-45.6528770000004	1
Gene 10	-309033.166627	-309031.590982	-309030.949926	-1.57564500003355	-2.21670100005576	-2.21670100005576	2
Gene 11	-305393.185833	-305387.426757	-305387.957908	-5.75907600001665	-5.22792500001378	-5.75907600001665	1
Gene 12	-261963.521553	-262123.775831	-262088.944768	160.254278000008	125.423214999988	125.423214999988	0
Gene 13	-136677.668884	-136667.474109	-136671.499408	-10.1947750000108	-6.16947600001004	-10.1947750000108	1
Gene 14	-272108.013777	-272108.340042	-272104.185453	0.326264999981504	-3.82832400000188	-3.82832400000188	2
Gene 15	-160514.679130	-160504.392803	-160508.352209	-10.2863270000089	-6.32692099999986	-10.2863270000089	1
Gene 16	-245302.312725	-245299.496218	-245297.018114	-2.81650700001046	-5.29461099999025	-5.29461099999025	2
Gene 17	-139381.294921	-139370.832471	-139372.508243	-10.4624499999918	-8.78667800000403	-10.4624499999918	1
Gene 18	-236490.910142	-236399.300585	-236430.088444	-91.609557000018	-60.8216980000143	-91.609557000018	1
Gene 19	-300800.545726	-300903.813227	-300882.477248	103.267501000024	81.9315219999989	81.9315219999989	0
Gene 20	-239386.742581	-239379.269360	-239383.361239	-7.47322099999292	-3.38134200000786	-7.47322099999292	1
Gene 21	-293545.544599	-293485.367057	-293477.003642	-60.1775420000195	-68.5409569999902	-68.5409569999902	2
Gene 22	-315076.753924	-315084.007167	-315082.086296	7.25324299995555	5.33237199997529	5.33237199997529	0
Gene 23	-143761.319742	-143750.602418	-143756.006256	-10.7173239999975	-5.3134859999991	-10.7173239999975	1
Gene 24	-96355.155565	-96346.466348	-96350.054637	-8.68921699999191	-5.10092799999984	-8.68921699999191	1
Gene 25	-1339010.346682	-1339009.183425	-1339009.078441	-1.16325700003654	-1.26824099989608	-1.26824099989608	2
Gene 26	-264664.623845	-264632.227027	-264641.609898	-32.3968180000084	-23.0139469999704	-32.3968180000084	1
SUM	-7045340.64382	-7045373.54525	-7045381.788343	32.9014299997943	41.1445230000245
